형태소,빈도수
건방,1
떠는,1
행동,1
자제,1
귀찮은,1
존재,1
아니지,1
않는가,1
친절함만,1
갖추면,1
들어있는지,1
있지,1
없이는,1
꽉차있었음,1
맞아,1
찾음,1
알고있는,1
빨간,1
아닌데다가,1
아닌것이,1
감임,1
흔한데다가,1
다양한,1
조리,1
이외,1
듣도,1
가게안은,1
소규모,1
빈자리,1
앉아야,1
함주,1
차는,1
용이,1
대표,1
오전,1
닭개장,1
바닥,1
긁어,1
왔어요,1
먹을거에요,1
맛있었거든요,1
버린,1
찢어진,1
잘린,1
고아,1
든든합니다,1
많았지만,1
방도,1
한시,1
가능하구요,1
이자,1
섞여,1
뜨면,1
진함이,1
풀어주고,1
달래주며,1
포만,1
영양,1
천왕,1
비롯,1
명불허전,1
타서,1
했음에도,1
서야하는것은,1
아쉽이,1
택배,1
잡우진,1
끓여서,1
어죽,1
내는,1
맛없음,1
썰어서,1
만든듯,1
갈릴듯,1
갈리는,1
공영,1
해있어서,1
하실,1
전날,1
먹었었는데,1
분기,1
풀어,1
줍니다,1
밑찬,1
캐리어,1
해주시는게,1
편한것,1
에다,1
옆쪽,1
대기실,1
앉아,1
주워,1
들어서,1
담번,1
보려구요,1
녹두,1
하셔요,1
맛있으니깐,1
할것도,1
유의,1
꾸린,1
완뚝후,1
텁텁함없,1
깔끔함다만,1
오래된,1
져있고,1
별점레,1
넣지,1
갈수록,1
더더,1
걸리지,1
않는데도,1
사납고,1
줄평,1
팅룸,1
꽉차서,1
바깥,1
빠르다,1
들르기,1
아시겠지만,1
사시던,1
받아서,1
봤습니다,1
얼은,1
스러워요,1
당연한,1
겠죠,1
폭주,1
제발,1
먹어주세요,1
숟갈,1
얹는다,1
비벼서,1
반복,1
포근하고,1
따뜻한,1
느끼다가,1
가는지,1
모릅니다,1
퍼먹냐,1
적거든요,1
통째,1
그야말로,1
될거에요,1
드셔도,1
장용,1
드셨을,1
하던,1
맞으실거에요,1
아련하게,1
남았어요,1
있으려나,1
해야겠지,1
갔지만,1
보단,1
들어갔어요,1
봐야지,1
엄청남,1
길면,1
넘을,1
투자,1
남자친구,1
가봤는데다,1
생각난다고,1
찢어져서,1
들어있다,1
고소하니,1
비슷한데,1
굿굿,1
가능하나,1
넘음,1
특이함,1
봤어여,1
쒀서,1
해야하나,1
든든하게,1
하기는,1
기다리고,1
아무런,1
찾아,1
오는지,1
얼큰하지는,1
음미,1
와중,1
진행,1
나쁘진,1
양옆,1
수월했음,1
이라길래,1
들었지만,1
는데,1
존맛임,1
장조림,1
말아먹는,1
돼서,1
끈적끈적한,1
뭐랄까,1
먹을건,1
아닌거,1
남편,1
다나,1
낫다,1
하더군요,1
이모,1
던지는,1
불친절하다고,1
느껴질수있음,1
맞음,1
색다름,1
드디어,1
했는데요,1
하시는,1
돌아가시는,1
드시는것,1
무려,1
넘게,1
길고,1
일까,1
절로,1
됐네요,1
적다면,1
또또,1
하고싶습니다,1
수만,1
알려주면,1
익숙해,1
선지,1
사람많르,1
쓰는데,1
불어있음,1
익히는진,1
모르겠으나,1
풀어졌으면,1
좋았을듯,1
제법,1
부들부들하고,1
없으면,1
지정,1
이런거,1
자부심,1
받아가면,1
가깝진,1
집회,1
전율,1
빠른데도,1
한가한,1
시즌,1
감기,1
많길래,1
대안,1
갔음,1
없었기에,1
괜찮았지,1
밀려,1
들어오는,1
보여,1
나오게,1
않으려면,1
부드러운데,1
난다는,1
물림,1
걸렸는데,1
기다리면서,1
봐야,1
의문,1
부드러운,1
다른데,1
갔다와도,1
고춧가루,1
넣는게,1
들어가자,1
마자,1
돼지쌂,1
진동,1
닭고기,1
이남,1
알꺼,1
쌈장,1
센스,1
시키려,1
많다고,1
나올,1
고추,1
빼주,1
심줄,1
설때,1
스피드,1
진해,1
예식장,1
제휴,1
되는듯,1
배기,1
불문,1
대체로,1
방문객,1
좁은,1
편이기에,1
부대끼며,1
받으실,1
보편,1
잔치국수,1
가깝습니다,1
명칭,1
심심하지만,1
어느샌가,1
갔었구요,1
웨이팅할,1
넓진,1
다해,1
소란,1
스럽습니다,1
플라스틱,1
앉아있을,1
골목,1
좁을,1
들어있구요,1
오게되,1
가볍게,1
해드려요,1
대로,1
되요,1
잡내도,1
나지,1
배부릅니다,1
야하는,1
많았는데,1
빠지긴,1
친절했던,1
쓸어,1
모을듯,1
맑고,1
어울림,1
박하게,1
싶을,1
여기오고,1
싶으신,1
할것만,1
팔아서,1
올렸으니,1
대단하다,1
연결,1
들어갈지,1
실시간,1
스마트,1
노란색,1
띄는,1
굵기도,1
적당한게,1
굵어서,1
생겼는데,1
끈어져서,1
서나,1
몇개,1
넣은,1
있는것,1
적을건,1
없네용,1
갓길,1
세워야,1
불편했고,1
기계로,1
하는건,1
순서,1
되면,1
부르,1
카톡,1
알려,1
주네용,1
점심시간,1
지나서,1
갔더니,1
지어서,1
되게,1
시판,1
비슷해서,1
비추요,1
맛있는듯,1
이었던,1
느끼함이,1
느낌이었다,1
아니었으나,1
담백함이,1
브레이크,1
타임,1
해주시길,1
바란다,1
많이하고,1
작은데였는데,1
큰데로,1
옮겼어요,1
잇어서,1
깔끔했어요,1
쓰고있는데,1
마련,1
되어있지,1
않기에,1
않겠습니다,1
시켰습니다,1
나왔으니,1
아강,1
대충,1
본거죠,1
모르겠습니다,1
졌고,1
신선,1
신거는,1
안좋은,1
식초,1
써서,1
인것,1
쓴거는,1
오이,1
넣은거,1
들이킨,1
뿝을뻔,1
유명하잖아요,1
유명했던,1
가서도,1
드시,1
집도,1
해보시는,1
기념,1
삼아,1
싶으시면,1
말리진,1
달릴,1
아니였던거,1
어플,1
알려주는,1
쾌적하게,1
기다릴수있을거,1
좋아용,1
입력,1
남았다,1
떠서,1
좁고,1
비슷해요,1
시중,1
파는,1
작은,1
같은거에요,1
진하다고,1
변했다고,1
안되엇구,1
올려져,1
다른데서도,1
였구요,1
차안,1
기다리시는,1
여름,1
기계,1
좋았구요,1
핸드폰,1
해야하는,1
남았는지,1
들어오는지,1
연락,1
오더라구요,1
암튼,1
그렇습니다,1
잡고,1
적다는,1
들었고,1
구수하고,1
좋았는데,1
그랬습니다,1
높았는지,1
아쉬웠어여,1
비슷하고,1
끊겨서,1
안좋길래,1
변했나,1
맛있더라구요,1
론데,1
있는게,1
들었네요,1
넣을,1
그중,1
가깝다,1
코로나,1
사태,1
감소,1
꾸준하다,1
스럽고,1
예쁘게,1
삶아진,1
가지런히,1
희안하게,1
떠난,1
갑자기,1
맛있었다고,1
느껴진다,1
비치,1
짭짤하기에,1
알맞게,1
먹는것이,1
오셨다면,1
해볼,1
달렸다,1
가능하고,1
걸린다고,1
이서,1
결혼,1
일차,1
심다,1
먹자,1
먹었음,1
우린,1
비슷하지만,1
왔으면,1
보는것을,1
쉽지,1
줄이,1
길기는,1
갖춰져,1
불편한,1
끼니,1
장식,1
해준,1
넣었다,1
안된다,1
수위,1
올라와있는,1
기대하고,1
같았구요,1
얹어진,1
기다릴만,1
가보시길,1
한가득,1
자재,1
원산지,1
확실해서,1
들어가야,1
어제,1
나은듯,1
우열,1
가리기,1
힘들,1
상큼,1
마셔서,1
가버렸다,1
맹맛,1
치가,1
컸나,1
봐요,1
돔배,1
콤달콤달콤,1
새벽,1
가능한게,1
의견,1
젊은,1
리지,1
시키고,1
부족해서,1
정해진,1
장수,1
받긴,1
시렁,1
초심,1
없어진자,1
오래요,1
떡국,1
호점,1
작은거,1
맛있더라고,1
요물,1
재미,1
정말로,1
맛있다는거,1
찾아갔어요,1
일까봐,1
저렴하고,1
부족할,1
개방,1
붙어있지,1
넓게,1
띄어져있어서,1
방해,1
적음,1
적지,1
이로,1
먹을수있는,1
호사,1
누릴수있음,1
비싸지만,1
도중,1
싶어지는,1
없진,1
이진,1
발라주시고,1
친절했어요,1
부담스럽지만,1
있었,1
니당,1
오면에,1
빼먹지,1
한데요,1
편이긴,1
편이랍니다,1
숟가락,1
두께,1
불러일으키는,1
할까,1
들리세요,1
티비,1
건데,1
비싸기는,1
건지는,1
훌륭하지도,1
맛있기로,1
길었다,1
요인,1
나왔습니다,1
맛없엇어,1
ㄷㄷ,1
디본,1
싸구려,1
오래된것,1
들에,1
적으,1
없네요,1
부드럽,1
긴한데,1
맛없어서,1
일줄,1
발라져,1
편하다,1
발라주는게,1
버섯,1
탕수육,1
가시길,1
싱거웠음,1
실속,1
없다고,1
말릴것,1
로드,1
손질,1
않을만큼,1
네거리,1
특별한것은,1
있다는거,1
칼칼함으로,1
비린내를,1
잡았습니다,1
신선함은,1
먹을만큼의,1
특별함은,1
떨어지더군요,1
평범해서,1
없구요,1
블러,1
왔는지,1
맛보지,1
성산,1
공터,1
붐비나,1
착석,1
부터는,1
담백함,1
음성,1
고소함과,1
달콤함,1
위인,1
다르지,1
나그네,1
저녁식사,1
이리,1
유명할까,1
웬만한,1
대부분,1
내지,1
않나요,1
특별하지,1
여유,1
어려웠고,1
주관,1
실망한,1
이름,1
나왔다는데,1
안된다고,1
시켰으나,1
시키더군요,1
은색,1
비닐,1
떠다녀,1
있겠습니다,1
나왔었네요,1
짭짤하니,1
사라져요,1
맛있겠지만,1
맛있을듯,1
깃밥,1
비싼데,1
시켜줘도,1
싶었다,1
얼큰하여,1
있습니다만,1
편합니다,1
시원하지만,1
매운것,1
괜찮습니다,1
나다,1
인게,1
아쉬울,1
고수,1
풍부하다,1
이면,1
싼건,1
구매,1
소소하네요,1
비싸네요,1
삼보,1
닫아서,1
찾은,1
큼지막한,1
나왔다,1
맛있긴,1
받아도,1
될듯,1
단호박,1
들어감,1
체험,1
위주,1
넣은듯,1
없애고,1
늙은,1
호박,1
잡아,1
중국산,1
대가,1
저렴해,1
까다롭게,1
해지진,1
주산,1
덜하나,1
넉넉하며,1
적정한,1
향토,1
정보,1
적절하고,1
무난,1
갈만,1
미터,1
가니,1
눈데,1
보신,1
칼칼하면서,1
주인,1
아주머니,1
깔끔함,1
들르면,1
다시오고,1
떨어지는데,1
시켰고,1
으아,1
유튜브,1
찾아간건데,1
먹고싶다,1
편이구,1
통통하구,1
믿기지가,1
않네,1
요성,1
국도,1
천합니다,1
칼칼하도,1
국소,1
시켰는데도,1
커다란,1
들어있었어요,1
짜지도,1
맛있었으며,1
된장국,1
배추벌레,1
사과,1
가져다,1
어이없었음,1
이란,1
아깝네요,1
강합니다,1
같답니다,1
먹으려고,1
랍니,1
접시,1
놔주시는,1
익어서,1
뱉었습니다,1
서버,1
담당,1
바빠,1
보였고,1
타고,1
뒤집어서,1
부실하다고,1
물어,1
하겠습니까,1
맛없으면,1
사기,1
쫀득함,1
액젓,1
먹기전까지,1
어느덧,1
흡입,1
했다는,1
알수있다,1
가봐,1
야할,1
굽기,1
기술,1
클래스,1
않는,1
팅할,1
참숯,1
왔던지라,1
들어왔을,1
어라,1
의아,1
들어오고,1
구워주자,1
짧았다는,1
온도,1
중요하다는,1
빼놓지,1
구워도,1
상관없고,1
보다도,1
담근,1
구워주시고,1
서는게,1
힘들었다,1
였음에도,1
창문,1
열어,1
놔서,1
춥게,1
싫어서,1
많더라구요,1
특별한건,1
없는거,1
같구,1
통합,1
특별하다까진,1
아닌듯,1
생각나용,1
이였는데,1
떠나서,1
딱좋았을거,1
그게,1
안되서,1
마니아,1
쉬웟,1
상급,1
궁합,1
도시,1
한두,1
환경,1
온다,1
구석,1
외쿡인,1
휴가,1
이승기,1
봤음,1
천막,1
바람,1
모기,1
월말,1
목요일,1
시경,1
단골,1
올만큼,1
이었고,1
방금,1
다녀왔는데,1
건방진,1
때매,1
쳤네,1
시종일관,1
한테,1
건방지게,1
승질,1
내는거야,1
맛있게못,1
만들고,1
지가,1
보게하는지,1
잘구,1
도안,1
봐도,1
아치,1
성실하게하던데,1
왼쪽,1
안쪽,1
창가,1
확실히,1
자르던지하세요,1
날리고,1
왔고,1
남깁니다,1
집돼지,1
주신다,1
착해요,1
잘라주셔서,1
에나,1
비싸서,1
먹어야겠다는,1
들어요,1
젓도,1
소량,1
맛있었는데,1
시킬,1
아쉬웠어요,1
전담,1
하고도,1
페셔널,1
도와주셔서,1
풍부하고,1
기다리긴,1
깊다,1
주어,1
친절합니다,1
장마철,1
구워주시,1
고파,1
하려,1
구워주,1
께서,1
찌개,1
하래,1
기다려,1
있더라고요,1
씹지못하거나,1
김이나,1
준비,1
하셔,1
야합니다,1
가을,1
가려고요,1
좋으나,1
확실,1
인도,1
이상하다,1
원조,1
집이죠,1
ㅜㅜㅜㅜ,1
열시,1
받으시는거,1
같으니,1
모르겠음,1
없에,1
남음,1
덩어리,1
가두며,1
굽다가,1
자르는,1
했었음,1
사라지고,1
올리자마자,1
빠져,1
빠짐,1
교묘하게,1
올린,1
효과,1
안감,1
주면서,1
정돈,1
아닙니,1
다그,1
먹어야지,1
드세여,1
ㅜㅜㅋㅋㅋㅋ,1
불편하네요,1
엎을뻔,1
문추,1
가는부터,1
정해져있는게,1
맘에안듬담,1
가볼,1
예정,1
만났다,1
가는걸,1
들어가는,1
한치,1
계절,1
불가능,1
있는거,1
작았고,1
특물회,1
비비,1
괜찮았음,1
싱싱한,1
기만,1
만족한,1
간단해서,1
율도,1
빠르고,1
배불렀음,1
시가,1
짐하구요,1
회덮밥,1
큽니다,1
만족합니다,1
초장,1
시끄러,1
까진,1
전형,1
만족하실듯,1
하산,1
훌륭함,1
밍숭맹숭,1
맛있는데,1
맛있지,1
없지도,1
들어가있어요,1
드시는,1
드셨던,1
에겐,1
내장,1
강해서,1
지겨우실수,1
났지만,1
까지와,1
판매,1
뜨겁지만,1
식어서,1
점점,1
먹고자란,1
고동,1
들어있어요,1
좋아한다면,1
나왔어요,1
탱글탱글한,1
동일한,1
비싸지도,1
싸지도,1
적정한으로,1
직한,1
씹히는,1
자연,1
원한다면,1
추합,1
톡톡,1
씹히는게,1
길지,1
매일,1
찾아가지,1
진하지만,1
하루,1
활기차게,1
해준다,1
다리,1
있었으나,1
용담동,1
해변,1
가능하며,1
떨어지는,1
있어도,1
가득하다,1
우려,1
시원하다,1
들어가,1
살리는,1
솥밥,1
아닌데도,1
구수하며,1
내어주는,1
국모,1
받을,1
되며,1
인해,1
원하시는,1
적극,1
만족스러운,1
모처럼,1
선정,1
밥집,1
아닌것은,1
인가,1
빌리고,1
착한,1
친철,1
완벽한,1
실감,1
크지,1
않으니,1
많다면,1
불편하나,1
가뿐하게,1
할만,1
매너,1
즉각,1
인사,1
만든다,1
강력히,1
언론,1
노출,1
친절히,1
건강,1
시원하게,1
맞는,1
배고픈,1
나물,1
맞지,1
힘듭니다,1
살면서,1
미지,1
따뜻해야,1
가보고,1
안드네,1
이후,1
가봤다,1
떠나기,1
들려,1
형부,1
국밥집,1
칼칼해서,1
맞았다,1
든든하고,1
채우고,1
싶으면,1
주저,1
개운한,1
입니다가게,1
맛볼,1
직후,1
출발,1
직전,1
기전,1
내린,1
개운하게,1
디톡스,1
개운한게,1
