형태소,빈도수
오기,6
특색,6
주는,6
장점,6
전반,6
아쉬운,6
차분한,6
되었다,6
곳도,6
주말,6
하겐다즈,6
괜찮을,6
일정,6
이니스프리,6
주먹밥,6
특징,6
가족,6
본인,6
시스템,6
식사,6
세련된,6
씨리얼,6
안쪽,6
먹었던,6
솔드아웃,6
안주,6
자리는,6
기념품,6
갔다가,6
비오는,5
가능,5
이라니,5
친절하게,5
해주셔서,5
품절,5
버터크림,5
군데,5
한테,5
치고,5
유명,5
대비,5
구석구석,5
버림,5
받을,5
파는데,5
유명하고,5
런가,5
팬케익,5
이면,5
찾아,5
스트로베리,5
씹히는,5
단점,5
점심,5
버거,5
지도,5
사이즈,5
친절하시다,5
당연히,5
이동,5
감각,5
남는,5
입니당,5
바디,5
미가,5
낭시,5
힘들게,5
한다는,5
도민,5
지하,5
고급,5
지고,5
주셔서,5
추억,5
섞어,5
하기도,5
바리스타,5
생기,5
있어도,5
모르는,5
복숭아,5
어울리는,5
에어컨,5
갔다,5
작고,5
시골,5
산리,5
태풍,5
다가,5
쌉싸름한,5
드디어,5
싶음,5
더운,5
하러,5
텁텁,5
드려요,5
대감,5
들고,5
팥고물,5
가득한,5
좋을것,5
떡집,5
앙금,5
계획,5
있던,5
들르는,5
생겨서,5
좋을듯,5
났다,5
아닌데,5
지점,5
싶다면,5
선호,5
인공,5
인위,5
대가,5
그거,5
얼도,5
금방,5
먹어서,5
가까이,5
수준,5
절대,5
들어갔는데,5
아쉬웠어요,5
느끼하지,5
깊은,5
하긴,5
특이한,5
따듯,5
스럽게,5
오시,5
되어있어서,5
아쌈,5
싶어요,5
흔히,5
고소해서,5
크고,5
봤다,5
맛볼,5
이었는데,5
모금,5
부족한,5
담긴,5
실망,5
시스터,5
필드,5
가벼운,5
키즈,5
어디서,5
입장료,5
수국,5
귀여운,5
신선한,5
올린,5
파도,5
먼저,5
힘든,5
같고,5
보통,5
이제,5
먹던,5
구좌읍,5
어울림,5
왔어요,5
감상,5
아직도,5
좋더라구요,5
주차공간,5
비싸지만,5
개발,5
기대하지,5
얼은,5
실패,5
양도,5
구름,5
로스팅,5
에티오피아,5
였고,5
유동,5
모르겠지만,5
돋보이는,5
정성,5
같네요,5
치즈케이크,5
모르겠어요,5
서서,5
차가운,5
많다,5
부담,5
한라,5
쇼콜라,5
은근,5
매일,5
코코넛,5
맛있었지만,5
유지,5
데코,5
갈아,5
ㅠㅠㅠㅠ,5
작년,5
프렌치,5
맛있다고,5
케잌,5
있더라구요,5
쿠폰,5
커피한잔,5
불구,5
가까워서,5
할인,5
유리창,5
부드러워서,5
만원,5
에이,5
깡패,5
오렌지,5
미숫가루,5
서는,4
마감,4
봐요,4
만족스러운,4
확인,4
하세요,4
개조,4
지불,4
그만큼,4
한편,4
합리,4
그럭저럭,4
선곡,4
순간,4
햄버거,4
피시앤칩스,4
나오는데,4
맛있었는데,4
좋구요,4
잔뜩,4
피쉬,4
결론,4
세상,4
ㅋㅋㅋㅋㅋ,4
비교,4
미니,4
먹은것,4
머스타드,4
허니,4
든다,4
받아서,4
감도,4
늦은,4
첫날,4
담백하고,4
먹으면서,4
전문점,4
대안,4
않았는데,4
올라가,4
평범한,4
하기가,4
엄청나게,4
내린,4
넣어,4
제발,4
맛있네요,4
확실히,4
크로와상,4
기회,4
평이,4
카라멜,4
좋았지만,4
유명해서,4
고구마,4
엄마,4
그치만,4
마당,4
현대,4
