형태소,빈도수
기다리면서,1
유명하더라구요,1
평범했는데,1
더군요,1
지나가다가,1
많길래,1
많은지,1
알겠더군요,1
보말이,1
들은,1
살콤달콤,1
먹고싶어요,1
표방,1
어설픈,1
나아요,1
미락,1
즐기는,1
는데,1
잇어서,1
아깝지,1
관록,1
남경미,1
오랜,1
찾았지만,1
뱃살,1
등살,1
데침,1
턱살,1
뽈살,1
쓸개,1
묵직한,1
호강,1
최강,1
가짓수,1
딴딴한,1
스키,1
창밖,1
전경,1
고고씽,1
들이,1
친절하셔요,1
완벽하게,1
깔끔합니다,1
않았는데,1
여자친구,1
놀라면서,1
밥알,1
오도독,1
풍부하고,1
긋하고,1
좋아하시지,1
않는다면,1
드시는게,1
맛있었네요,1
외빈,1
접견,1
전통,1
대통령,1
거치,1
지낸,1
쉐프,1
조천,1
차린,1
왠만한,1
리스트,1
빠지지,1
상위,1
랭커,1
주려는,1
데미지,1
크다,1
중산,1
초원,1
강된장,1
초고추장,1
창의,1
향연,1
팡팡,1
터진,1
다크,1
떠서,1
올려,1
메일,1
큼큼,1
스르,1
우걱우걱,1
씹으며,1
둘러보는,1
집의,1
맛보고자,1
찾아오는,1
맞이,1
하기에는,1
안되게,1
상시,1
헤매기를,1
각오,1
어쩔,1
보상,1
받을지,1
충분했고,1
해주셔서,1
남을듯,1
산뜻하고,1
느낌이긴,1
훌륭한,1
여태,1
집중,1
싶고,1
읽고계,1
신분,1
오게되,1
보시길,1
필요없는,1
간정,1
기다렸네요,1
모르겠는데,1
화가,1
난다거나,1
불쾌하지는,1
길어지더라고요,1
최대한,1
나을,1
꼬들하,1
안세고,1
아쉬운것은,1
착각,1
바쁜건,1
기울이셔도,1
됐을,1
맛있었으니까,1
삼삼한,1
편인데도,1
기다렸다다시,1
버렸다,1
해주신다,1
정갈하다,1
가보고,1
롭고,1
어우러진,1
그날그날,1
공수,1
오셔야,1
봐요,1
질겨,1
평이했어요,1
튀지,1
쎄지,1
싶었어요,1
서둘러서,1
하시는게,1
독특한데,1
질거나,1
거칠거나,1
어우러져서,1
냅니다,1
올거에요,1
외국산,1
수기,1
낮인데도,1
낮은,1
편이었다,1
실하고,1
뭉게,1
들릴,1
삼박자,1
완벽했던,1
곳뭘,1
먹을지,1
되었다,1
메뉴판,1
있는건,1
실패하기,1
어렵다길래,1
시켰고,1
얹어진,1
부침,1
특이했다,1
진작,1
했을까,1
소복히,1
나오길래,1
주시는거였다,1
한가득,1
주다니,1
정이,1
넘친다,1
썰어진,1
사발,1
간것과,1
옹기종기,1
끓여진,1
먹었다가,1
긋한,1
오독오독,1
울어진다,1
어조,1
날치,1
따뜻하게,1
내는,1
군침,1
돌게,1
왕창,1
있다면서,1
싫어하는데,1
맛있었다하나도,1
빨갛게,1
좋아한다면,1
분명,1
넣자마자,1
가득한다,1
비비,1
부숴,1
지면,1
형태,1
사라지고,1
채워진다,1
예쁜데,1
찾게,1
기쁘다시에,1
나지,1
않았던,1
없지도,1
맛있지도,1
않았어,1
우리엄마,1
피셜,1
들이었음,1
좀돌솥밥,1
밑바닥,1
타서,1
쓴맛,1
숭늉,1
먹었다고,1
하실,1
로라,1
운전,1
해야되,1
마셨다,1
평범했지만,1
별미,1
회랑,1
아픈,1
내면,1
길어질까,1
겁나지만,1
맛있는거니까,1
물어보면,1
조언,1
회맛,1
걸까,1
기대해서,1
많아여,1
꼬들꼬들하고,1
신기했지만,1
들었고,1
먹얶던,1
실망했어요,1
물고기,1
덥고,1
네이버,1
지도,1
빼곡,1
뒀는데요,1
되다니,1
영광,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
서귀포시,1
애매하게,1
늦어져서,1
가자하고,1
이었어용,1
파시,1
용서,1
터지는,1
기다리고,1
느껴져서,1
신기했어요,1
잡으신,1
김이랑,1
천국,1
조아해서,1
곰국,1
차더라구요,1
불친절한,1
곳도,1
할만큼은,1
기다리며,1
가치,1
있는지는,1
글쎄요,1
먹을수록,1
노리시는걸,1
믿고,1
미지근한,1
벌레,1
엉망,1
끼다시,1
개창,1
나로,1
찰진,1
부족했고,1
더러워서,1
불편했다하,1
갱신,1
구수,1
착착,1
촉촉,1
수식어,1
적당,1
알겠습니다,1
묵었던,1
휴일,1
발길,1
돌렸었습니다,1
종말,1
우한,1
폐렴,1
길다던,1
프라이,1
빗하게,1
쫄깃하,1
어마어마합니다,1
쫄깃함,1
매운탕,1
냈는지,1
쏘입니다,1
비겨,1
수족관,1
계시는,1
구조,1
행복하구요,1
뜨뜻한,1
필요할,1
먹어봣으,1
마세여,1
뀰맛,1
오는거,1
머릿고기,1
꼬리,1
식었을,1
밥말,1
양푼,1
나며,1
주십니다,1
넣을,1
드시고,1
남겨놓으시면,1
길은,1
불친절합니다,1
오시,1
되서,1
죄인,1
취급,1
하시네요,1
추석,1
그런듯,1
들어오라고,1
하시더라구요,1
났지만,1
매웠어요,1
느껴서,1
기다려,1
야했는데,1
마당,1
넓어서,1
찍고,1
산책,1
지루하지,1
차려내,1
좋았지,1
만찬,1
강렬하진,1
않아도,1
정찬,1
즐기시기,1
원하신다면,1
개선,1
없이는,1
일하는,1
걸리고,1
몰릴,1
였던,1
모시고오기,1
만든게,1
루고,1
꿜리트,1
낮았구,1
쓰는데,1
맛있었던걸,1
어떡하나,1
작성,1
시점,1
던데,1
싶기도,1
외진데,1
다가,1
알았다,1
저번,1
였거든요,1
났는데,1
평범해요,1
특장점,1
넓어,1
된다는것,1
자세하다는,1
애월,1
적혀,1
맛있다를,1
날이었고,1
변경,1
겪어서,1
없던,1
배고프지,1
배부른,1
되었는데도,1
지친,1
자연,1
회귀,1
좋아하다니,1
없으십니다,1
소소한,1
에피소드,1
맛보신,1
